index,Model Name,Price for New Car,is_new
311,toyota toyoace,-1,Past
312,nissan navara,93900,Past
313,mercedes-benz sl350,400888,Past
314,nissan fairlady,142500,Past
315,toyota liteace,64000,
316,ferrari f430,-1,Past
317,volkswagen touareg,174400,Past
318,honda integra,78000,Past
319,isuzu cyh52s,-1,Past
320,nissan skyline,-1,Past
321,maserati grancabrio,624000,
322,bmw 650i,306800,Past
323,skoda karoq,93900,
324,ford mustang,261000,
325,austin prin,-1,Past
326,volkswagen t-cross,126900,
327,bmw 118i,157888,Past
328,honda crossroad,-1,Past
329,golden dragon xml6701,66000,Past
330,toyota raize,92800,
331,mercedes-benz c160,-1,Past
332,mg mg,114999,
333,lamborghini urus,798000,
334,mercedes-benz b170,112888,Past
335,bmw 328i,229800,Past
336,honda n-van,76000,
337,toyota yaris,61888,
338,infiniti qx30,173800,Past
339,opel insignia,149500,
340,mercedes-benz e300,242000,
341,morris mini,-1,Past
342,mercedes-benz glc300,235000,
343,hino gh8jrma,-1,Past
344,perodua axia,67800,Past
345,bmw 630ci,-1,Past
346,byd t3,72000,
347,bmw 730i,258800,Past
348,mercedes-benz cls350,350000,
349,bmw 435i,242888,Past
350,volkswagen passat,179900,
351,honda odyssey,195800,
352,bmw 230i,178800,Past
353,volvo v50,140000,Past
354,isuzu npr85,42000,
355,bmw 640i,407800,Past
356,lamborghini huracan,798000,
357,bmw 730d,415000,
358,ferrari california,758000,Past
359,suzuki vitara,139900,
360,porsche 944,-1,Past
361,rover 216,-1,Past
362,mercedes-benz s280,271888,Past
363,bmw 325i,235800,Past
364,toyota rav4,173000,
365,skoda kodiaq,99900,
366,honda grace,104000,
367,bmw 228i,178800,Past
368,hyundai getz,41399,Past
369,peugeot 208,96999,Past
370,skoda kamiq,77900,
371,mercedes-benz e350,284888,Past
372,jeep wrangler,274999,
373,ford mondeo,79900,Past
374,austin mini,-1,Past
375,subaru outback,86500,Past
376,audi s5,387518,
377,mercedes-benz ml350,270888,Past
378,mercedes-benz 300sel,-1,Past
379,audi s4,376581,
380,renault scenic,140999,
381,seat leon,138999,
382,bmw m2,301888,
383,bmw alpina,320800,
384,mercedes-benz 200,114999,
385,mazda cx-7,94888,Past
386,isuzu trf87j,-1,Past
387,mazda cx-3,107888,
388,renault clio,76999,Past
389,opel astra,126500,
390,isuzu nmr85,-1,Past
391,bmw 125i,203800,Past
392,opel vivaro,111500,
393,toyota 86,145888,Past
394,toyota crown,260988,Past
395,chevrolet aveo,50888,Past
396,renault trafic,104900,Past
397,toyota regiusace,-1,Past
398,peugeot 2008,120888,
399,volkswagen transporter,92000,
400,toyota mrs,-1,Past
401,kia niro,119999,
402,isuzu npr75,42000,
403,infiniti q60,198800,Past
404,mercedes-benz s500l,492000,
405,mitsubishi asx,148999,Past
406,skoda yeti,133900,Past
407,bmw m8,665888,
408,isuzu njr88a,-1,Past
409,jaguar i-pace,377999,
410,ud trucks,-1,Past
411,aston martin v8,799000,
412,volkswagen cc,176800,Past
413,ferrari 458,1160000,Past
414,bmw 320d,187800,Past
415,mercedes-benz v250d,278888,Past
416,byd e6,118000,
417,mercedes-benz c350,178888,Past
418,fiat 500,136900,Past
419,nissan serena,176800,
420,suzuki apv,122500,Past
421,isuzu tfr54h,-1,Past
422,bmw m6,626800,Past
423,bmw 440i,242888,Past
424,lexus ls350,-1,Past
425,scania keb4x2,-1,Past
426,ferrari 488,995000,Past
427,volkswagen eos,200800,Past
428,mercedes-benz glc250,-1,Past
429,international scout,-1,Past
430,volvo xc90,350000,
431,citroen ds5,199988,Past
432,mercedes-benz b160,112888,Past
433,jaguar f-pace,293999,
434,ford fiesta,92999,Past
435,ferrari gtc4lusso,1285000,Past
436,mercedes-benz s450,350000,
437,lexus ct,268800,
438,fiat bravo,87900,Past
439,audi sq5,376986,
440,skoda superb,98900,
441,daf fa,-1,Past
442,toyota aqua,-1,Past
443,mercedes-benz cls250,326888,Past
444,isuzu fsr34s,-1,Past
445,mercedes-benz 190e,-1,Past
446,isuzu cyz52r,-1,Past
447,alpine a110,248800,
448,mercedes-benz s560,543000,
449,rolls-royce cullinan,1570000,
450,toyota avanza,109888,Past
451,scania p360,-1,Past
452,mercedes-benz e280,203888,Past
453,kia optima,125999,Past
454,mercedes-benz sl280,-1,Past
455,bmw i8,623888,Past
456,hyundai sonata,67999,Past
457,aston martin db9,808000,Past
458,isuzu frr90,-1,Past
459,alfa romeo mito,119800,Past
460,mercedes-benz 450slc,-1,Past
461,isuzu nnr85,-1,Past
462,alfa romeo giulietta,128800,Past
463,mitsubishi triton,152988,
464,bmw 430i,271000,
465,mercedes-benz 320ce,-1,Past
466,isuzu ftr34p,-1,Past
467,ferrari f355,-1,Past
468,bmw 630i,342888,
469,daihatsu copen,126000,
470,bmw 850i,665888,
471,mercedes-benz r300l,244888,Past
472,land rover freelander,119888,Past
473,hino fs1etka,-1,Past
474,toyota mark,-1,Past
475,volvo v60,238000,
476,porsche 924,-1,Past
477,mitsubishi gto,-1,Past
478,hino fy1euka,-1,Past
479,bmw activehybrid,307800,Past
480,nissan atlas,-1,Past
